NDM,stage
1.254380266,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.029477407,ND
1.181697614,ND
0.913954035,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.068558905,ND
0,ND
0,ND
1.142733566,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.186740258,ND
0,ND
0,ND
0.923622598,ND
0,ND
0,ND
0.937865143,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0.843790502,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0.471156367,ND
0,ND
1.242497039,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.178608367,ND
1.042731435,ND
0,ND
0,ND
0,ND
1.232049293,ND
1.197664945,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.000868302,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0.830873798,ND
0,ND
0,ND
0,ND
1.085420054,ND
0.476921693,ND
0,ND
0,ND
0,ND
0.990303335,ND
1.082605813,ND
0,ND
0,ND
0,ND
0,ND
1.352816566,ND
0,ND
0,ND
0.954315848,ND
0,ND
1.271522991,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.27781014,ND
0,ND
0,ND
0,ND
0,ND
0.966017414,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.194184894,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.428397988,ND
1.02668473,ND
1.500526937,ND
0,ND
0,ND
0,ND
1.271123861,ND
0,ND
1.251720191,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.287174093,ND
0,ND
1.254069546,ND
1.226670656,ND
0,ND
0.842518225,ND
0.924108968,ND
1.32225928,ND
0.944085334,ND
1.152792335,ND
0,ND
0,ND
0,ND
0,ND
1.09744445,ND
0,ND
0,ND
0,ND
0,ND
0.960883772,ND
0,ND
0,ND
0,ND
1.231393445,ND
0.940758397,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.23876286,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.156339636,ND
0,ND
0,ND
0,ND
0,ND
0.972673785,ND
0.793811367,ND
0,ND
0,ND
0.894808063,ND
0,ND
0,ND
0,ND
0.835410338,ND
0.839208652,ND
1.175775124,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.170865907,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.286258895,ND
1.203373046,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0.913978067,ND
0,ND
0,ND
1.159778738,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.265271388,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.221400122,ND
0,ND
0,ND
1.252418859,ND
1.188371694,ND
0,ND
1.193953264,ND
0,ND
0,ND
0,ND
0,ND
0.934236412,ND
0,ND
0,ND
0.848728999,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0.779296316,ND
0,ND
0,ND
0,ND
0,ND
1.081171388,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.176087932,ND
0,ND
0,ND
0,ND
0.90533604,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.279942159,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.238513278,ND
0,ND
1.190552677,ND
0,ND
0,ND
0,ND
0,ND
1.385512474,ND
0,ND
0,ND
0.62208313,ND
0,ND
0,ND
0,ND
0.713991015,ND
0,ND
0.961233346,ND
1.195176371,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.207520623,ND
0,ND
0,ND
0,ND
0,ND
1.360947352,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.323042445,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.035409791,ND
0,ND
0,T2D
