GEM,stage
1.791759469,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
6.442540166,ND
6.293419279,ND
5.451038454,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0.693147181,ND
0,ND
0,ND
5.713732806,ND
0,ND
0,ND
0,ND
0,ND
0,ND
5.187385806,ND
0,ND
0,ND
6.726233402,ND
0,ND
0,ND
6.190315406,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
7.112327445,ND
0,ND
0,ND
0,ND
0,ND
0,ND
8.030080839,ND
0,ND
2.197224577,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
3.258096538,ND
1.791759469,ND
6.381816017,ND
0,ND
0,ND
6.403574198,ND
5.231108617,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
6.272877007,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
5.613128106,ND
0,ND
0,ND
0,ND
4.17438727,ND
8.419580363,ND
0,ND
0,ND
0,ND
3.951243719,ND
1.098612289,ND
0,ND
0,ND
0,ND
0,ND
6.894649776,ND
0,ND
0,ND
6.216606101,ND
0,ND
6.781057626,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
5.416100402,ND
0,ND
0,ND
0,ND
0,ND
5.746203191,ND
0,ND
0,ND
0,ND
0,ND
0,ND
5.342334252,ND
0,ND
0,ND
0,ND
0,ND
0,ND
5.814130532,ND
7.745002804,ND
1.386294361,ND
0,ND
0,ND
0,ND
6.725033642,ND
0,ND
6.698268054,ND
0,ND
0,ND
0,ND
0,ND
0,ND
5.880532986,ND
0,ND
6.613384218,ND
5.783825182,ND
0,ND
7.599401333,ND
5.713732806,ND
6.021023349,ND
3.295836866,ND
6.593044534,ND
0,ND
0,ND
0,ND
0,ND
7.422373701,ND
0,ND
0,ND
0,ND
0,ND
8.488793717,ND
0,ND
0,ND
0,ND
4.94875989,ND
6.799055862,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
3.401197382,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
6.568077911,ND
0,ND
0,ND
0,ND
0,ND
4.394449155,ND
6.577847449,ND
0,ND
0,ND
5.241747015,ND
0,ND
0,ND
0,ND
0.693147181,ND
5.627621114,ND
6.436150368,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
5.840641657,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
6.499787041,ND
0.693147181,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
6.532334292,ND
0,ND
0,ND
0.693147181,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
1.945910149,ND
0,ND
0,ND
0,ND
0,ND
0,ND
7.719573989,ND
0,ND
0,ND
2.397895273,ND
1.386294361,ND
0,ND
6.575075841,ND
0,ND
0,ND
0,ND
0,ND
2.302585093,ND
0,ND
0,ND
5.18178355,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
3.433987204,ND
0,ND
0,ND
0,ND
0,ND
6.216606101,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
5.902633333,ND
0,ND
0,ND
0,ND
2.708050201,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
3.218875825,ND
0,ND
0,ND
0,ND
0,ND
0,ND
2.944438979,ND
0,ND
4.48863637,ND
0,ND
0,ND
0,ND
0,ND
0.693147181,ND
0,ND
0,ND
6.473890696,ND
0,ND
0,ND
0,ND
5.945420609,ND
0,ND
6.620073207,ND
1.609437912,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
6.582025139,ND
0,ND
0,ND
0,ND
0,ND
0.693147181,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0,ND
0.693147181,ND
0,ND
0,ND
0,ND
0,ND
0,ND
5.537334267,ND
0,ND
0,T2D
1.342212807,T2D
1.201155561,T2D
0,T2D
0,T2D
1.058537875,T2D
1.276449432,T2D
0,T2D
0,T2D
1.332485104,T2D
1.446153055,T2D
0,T2D
0,T2D
0,T2D
1.377771948,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
1.097013533,T2D
0.6055297,T2D
0.959240741,T2D
1.115879122,T2D
1.192480048,T2D
1.198244725,T2D
1.242759959,T2D
0.523427003,T2D
1.224878728,T2D
0,T2D
1.418894869,T2D
0,T2D
1.391741714,T2D
0.972492093,T2D
1.430790879,T2D
1.150674842,T2D
1.467316882,T2D
1.003104962,T2D
1.01548952,T2D
1.325333292,T2D
1.375255077,T2D
0.672236884,T2D
0,T2D
0.905391907,T2D
0.863914526,T2D
0.976062973,T2D
1.287979545,T2D
1.382276119,T2D
0,T2D
1.315597205,T2D
0.958738419,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
1.368967303,T2D
1.003462981,T2D
0,T2D
0,T2D
1.385875676,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0.962110319,T2D
0,T2D
0.997826787,T2D
0,T2D
0.509595346,T2D
1.335106962,T2D
1.271398644,T2D
0,T2D
0,T2D
1.31461979,T2D
0.655405777,T2D
1.392779501,T2D
1.301483052,T2D
0,T2D
1.043013612,T2D
1.105976075,T2D
0,T2D
0,T2D
0,T2D
0.968008451,T2D
1.073555109,T2D
0.567575754,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
1.136006705,T2D
1.11357522,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0.455687021,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0.912461465,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
1.141003306,T2D
0,T2D
1.034393122,T2D
0,T2D
0,T2D
1.282024425,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0.704072363,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
1.337580782,T2D
1.211024059,T2D
0.546256861,T2D
0,T2D
0,T2D
1.215507332,T2D
0,T2D
0,T2D
1.333638601,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0.971135746,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0.931709872,T2D
1.151171981,T2D
0,T2D
0,T2D
0,T2D
1.076209521,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
1.377387068,T2D
1.253217767,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
1.211309119,T2D
0.882353229,T2D
0,T2D
0,T2D
1.530645288,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
1.352895236,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0.505647005,T2D
1.358307768,T2D
0,T2D
1.313228078,T2D
0,T2D
0,T2D
0.970755673,T2D
1.126868537,T2D
1.359582418,T2D
1.290709162,T2D
0,T2D
1.321241421,T2D
0,T2D
1.321764474,T2D
1.189030821,T2D
0,T2D
0,T2D
0,T2D
0,T2D
1.327468022,T2D
1.313351095,T2D
1.310057194,T2D
0,T2D
0,T2D
0,T2D
1.431731059,T2D
0,T2D
0.968344998,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
0,T2D
1.000413685,T2D
0,T2D
0,T2D
1.262531491,T2D
0,T2D
0.454771372,T2D
0,T2D
0.473063482,T2D
0,T2D
0,T2D
0.908016914,T2D
0,T2D
0,T2D
0,T2D
1.078130846,T2D
0,T2D
0,T2D
1.311690439,T2D
0,T2D
1.326236302,T2D
0,T2D
1.074010722,T2D
